Node,Category,Metric,Value
1,Size,Requests Sent,128
1,Size,Requests Received,49
1,Size,Replies Sent,49
1,Size,Replies Received,128
1,Size,Request Bytes Sent,89452
1,Size,Request Bytes Received,51904
1,Size,Request Data Sent,84076
1,Size,Request Data Received,49846
1,Time,Average RTT (ms),2.56
1,Time,Request Throughput (kB/sec),272.5
1,Time,Request Goodput (kB/sec),256.1
1,Time,Average Reply Delay (us),55.51
2,Size,Requests Sent,82
2,Size,Requests Received,49
2,Size,Replies Sent,49
2,Size,Replies Received,128
2,Size,Request Bytes Sent,89452
2,Size,Request Bytes Received,51904
2,Size,Request Data Sent,84076
2,Size,Request Data Received,49846
2,Time,Average RTT (ms),2.56
2,Time,Request Throughput (kB/sec),272.5
2,Time,Request Goodput (kB/sec),256.1
2,Time,Average Reply Delay (us),55.51
3,Size,Requests Sent,72
3,Size,Requests Received,98
3,Size,Replies Sent,49
3,Size,Replies Received,128
3,Size,Request Bytes Sent,89452
3,Size,Request Bytes Received,51904
3,Size,Request Data Sent,84076
3,Size,Request Data Received,49846
3,Time,Average RTT (ms),2.56
3,Time,Request Throughput (kB/sec),272.5
3,Time,Request Goodput (kB/sec),256.1
3,Time,Average Reply Delay (us),55.51
4,Size,Requests Sent,108
4,Size,Requests Received,86
4,Size,Replies Sent,49
4,Size,Replies Received,128
4,Size,Request Bytes Sent,89452
4,Size,Request Bytes Received,51904
4,Size,Request Data Sent,84076
4,Size,Request Data Received,49846
4,Time,Average RTT (ms),2.56
4,Time,Request Throughput (kB/sec),272.5
4,Time,Request Goodput (kB/sec),256.1
4,Time,Average Reply Delay (us),55.51

[{'sent_requests': 128, 'received_requests': 49, 'sent_replies': 49, 'received_replies': 128, 'sent_request_bytes': 89452, 'received_request_bytes': 51904, 'sent_request_data': 84076, 'received_request_data': 49846, 'req_exchanges': 128, 'total_rtt': 328.30100000114726, 'avg_rtt': 2.564851562508963, 'total_reply_delay': 0.0027200000005223046, 'request_throughput': 272.4694716119884, 'request_goodput': 256.0942549663455, 'avg_reply_delay': 55.51020409229193}, {'sent_requests': 82, 'received_requests': 160, 'sent_replies': 160, 'received_replies': 82, 'sent_request_bytes': 53040, 'received_request_bytes': 113816, 'sent_request_data': 49596, 'received_request_data': 107096, 'req_exchanges': 82, 'total_rtt': 219.52799999974104, 'avg_rtt': 2.677170731704159, 'total_reply_delay': 0.008903999998324252, 'request_throughput': 241.60927079945412, 'request_goodput': 225.92106701677466, 'avg_reply_delay': 55.64999998952658}, {'sent_requests': 72, 'received_requests': 98, 'sent_replies': 98, 'received_replies': 72, 'sent_request_bytes': 53070, 'received_request_bytes': 62908, 'sent_request_data': 50046, 'received_request_data': 58792, 'req_exchanges': 72, 'total_rtt': 200.11499999839089, 'avg_rtt': 2.779374999977651, 'total_reply_delay': 0.005375999998861403, 'request_throughput': 265.1975114330597, 'request_goodput': 250.08620043676095, 'avg_reply_delay': 54.85714284552452}, {'sent_requests': 108, 'received_requests': 86, 'sent_replies': 86, 'received_replies': 108, 'sent_request_bytes': 75232, 'received_request_bytes': 42388, 'sent_request_data': 70696, 'received_request_data': 38776, 'req_exchanges': 108, 'total_rtt': 328.1529999983377, 'avg_rtt': 3.038453703688312, 'total_reply_delay': 0.004585000000361106, 'request_throughput': 229.25891276441507, 'request_goodput': 215.43609231169035, 'avg_reply_delay': 53.313953492571}]
